[00:40:37] [INFO] received Windows console close event; shutting log-core down
[12:57:03] [INFO] received Windows console close event; shutting log-core down
[13:21:23] [INFO] received Windows console close event; shutting log-core down
[13:30:36] [INFO] received Windows console close event; shutting log-core down
[13:41:03] [INFO] received Windows console close event; shutting log-core down
[13:53:08] [INFO] received Windows console close event; shutting log-core down
[14:01:28] [INFO] received Windows console close event; shutting log-core down
[14:05:16] [INFO] received Windows console close event; shutting log-core down
[14:07:50] [INFO] received Windows console close event; shutting log-core down
[14:13:35] [INFO] received Windows console close event; shutting log-core down
[14:13:52] [INFO] received Windows console close event; shutting log-core down
[15:40:27] [INFO] received Windows console close event; shutting log-core down
[15:46:40] [INFO] received Windows console close event; shutting log-core down
[15:48:13] [INFO] received Windows console close event; shutting log-core down
[15:51:53] [INFO] received Windows console close event; shutting log-core down
[15:55:25] [INFO] received Windows console close event; shutting log-core down
[16:02:48] [INFO] received Windows console close event; shutting log-core down
[16:06:00] [INFO] received Windows console close event; shutting log-core down
[16:08:31] [INFO] received Windows console close event; shutting log-core down
[14:40:16] [INFO] received Windows console close event; shutting log-core down
[15:20:08] [INFO] received Windows console close event; shutting log-core down
[00:18:07] [INFO] received Windows console close event; shutting log-core down
[00:18:14] [INFO] received Windows console close event; shutting log-core down
[00:40:09] [INFO] received Windows console close event; shutting log-core down
[01:13:26] [INFO] received Windows console close event; shutting log-core down
[01:19:31] [INFO] received Windows console close event; shutting log-core down
[01:22:59] [INFO] received Windows console close event; shutting log-core down
[01:24:14] [INFO] received Windows console close event; shutting log-core down
[01:32:55] [INFO] received Windows console close event; shutting log-core down
[01:47:02] [INFO] received Windows console close event; shutting log-core down
[01:51:08] [INFO] received Windows console close event; shutting log-core down
[01:55:57] [INFO] received Windows console close event; shutting log-core down
[02:07:29] [INFO] received Windows console close event; shutting log-core down
[02:20:07] [INFO] received Windows console close event; shutting log-core down
[02:20:12] [INFO] received Windows console close event; shutting log-core down
[02:23:11] [INFO] received Windows console close event; shutting log-core down
[01:53:17] [INFO] received Windows console close event; shutting log-core down
[02:08:13] [INFO] received Windows console close event; shutting log-core down
[02:41:51] [INFO] received Windows console close event; shutting log-core down
[02:48:14] [INFO] received Windows console close event; shutting log-core down
[03:05:58] [INFO] received Windows console close event; shutting log-core down
[03:08:36] [INFO] received Windows console close event; shutting log-core down
[03:18:36] [INFO] received Windows console close event; shutting log-core down
[03:37:28] [INFO] received Windows console close event; shutting log-core down
[03:38:40] [INFO] received Windows console close event; shutting log-core down
[03:45:28] [INFO] received Windows console close event; shutting log-core down
